"Month, Day, Year of Date",Delivered AOV,Product Gross Margin,Delivered Orders,Cogs,Delivered Revenue
1-Jan-23,75.86395349,47.64%,86,3416.12,"6,524.30"
8-Jan-23,78.5,48.10%,120,"4,200.00","9,420.00"
15-Jan-23,82.0,47.90%,110,"3,950.00","9,020.00"
22-Jan-23,79.25,48.30%,115,"4,050.00","9,113.75"
29-Jan-23,81.1,48.00%,118,"4,180.00","9,569.80"
5-Feb-23,84.6,49.20%,125,"4,350.00","10,575.00"
12-Feb-23,90.0,49.50%,130,"4,520.00","11,700.00"
19-Feb-23,88.4,49.10%,128,"4,480.00","11,315.20"
26-Feb-23,92.1,50.00%,132,"4,600.00","12,157.20"
5-Mar-23,95.0,50.20%,140,"4,760.00","13,300.00"
12-Mar-23,93.4,49.80%,138,"4,720.00","12,889.20"
19-Mar-23,96.2,50.10%,145,"4,900.00","13,949.00"
